Month,Ather_Registrations
2023-01-01,9682
2023-02-01,10707
2023-03-01,12787
2023-04-01,8335
2023-05-01,16412
2023-06-01,4860
2023-07-01,7168
2023-08-01,7734
2023-09-01,7730
2023-10-01,9074
2023-11-01,10059
2023-12-01,7262
2024-01-01,10172
2024-02-01,9939
2024-03-01,18690
2024-04-01,4369
2024-05-01,6642
2024-06-01,6493
2024-07-01,7102
2024-08-01,5045
2024-09-01,5902
2024-10-01,7004
2024-11-01,5373
2024-12-01,3818
2025-01-01,4839
2025-02-01,4830
2025-03-01,6135
2025-04-01,5051
2025-05-01,5036
2025-06-01,5524
2025-07-01,5731
2025-08-01,5804
2025-09-01,5252
2025-10-01,7058
2025-11-01,5495
2025-12-01,4698
2026-01-01,5553
2026-02-01,4609
2026-03-01,6908
2026-04-01,5958
2026-05-01,5889
2026-06-01,6141
2026-07-01,2802
2026-08-01,392
